CDL_id,CDL_name,GCAM_id,SRP_GCAM_id,Price_Unit,Price,Yeild_Unit,Yeild
23,Spring Wheat,2,2,$ / BU,6.33,BU / AC,79
222,Squash,12,12,$ / CWT,30.4,CWT / ACRE,153
221,Strawberries,12,12,NA,NA,NA,NA
41,Sugarbeets,6,6,$ / TON,57.3,TONS / ACRE,33.54
45,Sugarcane,6,6,NA,NA,NA,NA
6,Sunflower,5,5,$ / CWT,23.3,CWT / ACRE,14.6
12,Sweet Corn,1,1,NA,NA,NA,NA
46,Sweet Potatoes,4,4,$ / CWT,19.8,CWT / ACRE,204
60,Switchgrass,11,12,NA,NA,NA,NA
11,Tobacco,12,12,NA,NA,NA,NA
54,Tomatoes,12,12,NA,NA,NA,NA
205,Triticale,7,7,NA,NA,NA,NA
247,Turnips,4,4,NA,NA,NA,NA
224,Vetch,10,10,NA,NA,NA,NA
76,Walnuts,12,12,NA,NA,NA,NA
83,Water,24,28,NA,NA,NA,NA
48,Watermelons,12,12,NA,NA,NA,NA
87,Wetlands,23,23,NA,NA,NA,NA
24,Winter Wheat,2,2,$ / BU,5.68,BU/ACRE,82
190,Woody Wetlands,23,23,NA,NA,NA,NA
