Crop,2010 Pixel Count,2011 Pixel Count,2012 Pixel Count,2013 Pixel Count,2014 Pixel Count,2015 Pixel Count,2016 Pixel Count,2017 Pixel Count
Dbl Crop Lettuce/Cotton,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Dbl Crop Lettuce/Durum Wht,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Dbl Crop Oats/Corn,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Dbl Crop Soybeans/Cotton,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Dbl Crop Soybeans/Oats,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Dbl Crop WinWht/Corn,1.26E+03,1.56E+03,2.66E+03,3.34E+03,1.48E+03,1.44E+02,1.82E+03,3.08E+03
Dbl Crop WinWht/Cotton,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Dbl Crop WinWht/Sorghum,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.32E+02,0.00E+00,0.00E+00,0.00E+00
Dbl Crop WinWht/Soybeans,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Deciduous Forest,7.17E+05,6.78E+05,6.72E+05,6.75E+05,7.21E+05,7.08E+05,7.13E+05,7.00E+05
Developed,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Developed/High Intensity,2.66E+04,3.07E+04,2.82E+04,2.98E+04,1.78E+04,1.49E+04,1.76E+04,1.70E+04
Developed/Low Intensity,6.39E+05,6.29E+05,6.38E+05,6.25E+05,6.41E+05,5.92E+05,6.33E+05,6.36E+05
Developed/Med Intensity,2.33E+05,2.34E+05,2.40E+05,2.27E+05,1.65E+05,1.49E+05,1.70E+05,1.67E+05
Developed/Open Space,1.81E+06,1.80E+06,1.82E+06,1.81E+06,1.83E+06,1.74E+06,1.87E+06,1.81E+06
Dry Beans,3.33E+05,3.58E+05,2.70E+05,3.29E+05,2.55E+05,4.63E+05,3.69E+05,2.69E+05
Durum Wheat,1.33E+04,4.98E+04,1.97E+04,2.09E+04,1.81E+04,3.26E+04,3.07E+04,1.96E+04
Eggplants,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Evergreen Forest,2.70E+07,2.70E+07,2.70E+07,2.68E+07,2.76E+07,2.77E+07,2.76E+07,2.78E+07
Fallow/Idle Cropland,1.50E+06,1.07E+06,1.50E+06,1.15E+06,1.28E+06,6.89E+05,1.32E+06,1.25E+06
Flaxseed,0.00E+00,1.26E+03,3.74E+02,9.12E+02,2.49E+03,0.00E+00,2.93E+03,1.33E+03
Forest,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.81E+03,0.00E+00,0.00E+00
Garlic,0.00E+00,5.69E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.19E+02,0.00E+00
Gourds,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Grapes,9.84E+02,3.49E+03,3.85E+03,2.64E+03,2.39E+03,1.36E+03,2.21E+03,1.68E+03
Grassland/Pasture,1.49E+07,1.49E+07,1.50E+07,2.18E+07,1.14E+07,2.61E+07,1.18E+07,2.11E+07
Greens,8.98E+02,1.36E+02,4.50E+02,5.23E+02,6.80E+01,2.45E+02,3.50E+01,9.20E+01
Herbaceous Wetlands,5.19E+05,5.28E+05,5.55E+05,4.79E+05,5.58E+05,3.74E+05,5.30E+05,5.34E+05
Herbs,6.17E+04,6.39E+04,6.20E+04,5.33E+04,6.06E+04,5.49E+04,7.16E+04,4.95E+04
Honeydew Melons,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Hops,1.33E+04,1.78E+04,5.58E+03,1.31E+04,6.36E+03,6.88E+03,6.50E+03,7.07E+03
Lentils,9.00E+00,6.59E+02,1.00E+00,0.00E+00,4.00E+00,5.00E+00,8.90E+01,0.00E+00
Lettuce,2.57E+03,7.78E+03,2.20E+03,2.34E+03,1.12E+03,5.00E+02,1.21E+03,1.73E+03
Millet,1.40E+03,1.27E+02,5.76E+02,4.08E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Mint,1.39E+03,1.06E+03,3.42E+02,9.38E+02,1.61E+03,2.13E+03,1.31E+03,1.29E+03
Misc Vegs & Fruits,2.02E+02,2.40E+02,1.41E+03,4.70E+01,3.68E+02,0.00E+00,2.14E+02,4.53E+02
Mixed Forest,5.02E+03,3.26E+03,3.54E+03,3.09E+03,2.14E+04,1.21E+04,2.03E+04,1.83E+04
Mustard,2.08E+04,3.16E+04,6.12E+03,7.39E+03,4.15E+03,2.98E+03,6.51E+03,5.73E+03
Nectarines,0.00E+00,2.90E+01,6.63E+02,2.90E+01,7.00E+01,4.30E+01,7.30E+01,2.26E+02
Nonag/Undefined,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Oats,3.21E+04,4.26E+04,7.30E+04,7.94E+04,8.95E+04,5.53E+04,8.33E+04,7.35E+04
Olives,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Onions,1.20E+05,1.33E+05,1.19E+05,1.06E+05,1.20E+05,9.56E+04,1.06E+05,1.34E+05
Open Water,1.32E+06,1.33E+06,1.27E+06,1.25E+06,1.28E+06,1.23E+06,1.22E+06,1.19E+06
Oranges,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Other Crops,1.58E+04,1.59E+04,8.00E+03,9.21E+03,3.77E+03,6.51E+03,8.01E+03,9.76E+03
Other Hay/Non Alfalfa,6.83E+05,8.22E+05,7.03E+05,9.87E+05,1.27E+06,5.84E+05,6.38E+05,8.50E+05
Other Small Grains,1.16E+03,2.57E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Other Tree Crops,0.00E+00,0.00E+00,7.00E+00,0.00E+00,3.20E+02,1.01E+02,0.00E+00,1.60E+01
Pasture/Grass,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Peaches,2.85E+03,3.86E+03,4.42E+03,4.62E+03,4.62E+03,1.31E+03,3.43E+03,3.17E+03
Peanuts,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Pears,9.30E+01,3.00E+01,2.88E+02,5.22E+02,0.00E+00,0.00E+00,1.64E+02,1.41E+02
Peas,5.34E+04,6.12E+04,5.08E+04,5.27E+04,4.64E+04,5.36E+04,4.22E+04,4.25E+04
Pecans,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Peppers,5.28E+02,1.76E+02,4.55E+02,5.25E+02,0.00E+00,1.59E+02,6.00E+01,2.73E+02
Perennial Ice/Snow ,4.69E+04,5.10E+04,4.04E+04,4.21E+04,1.80E+05,3.17E+04,2.12E+05,3.81E+04
Pistachios,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Plums,5.57E+02,9.63E+02,5.89E+02,1.26E+03,1.55E+02,8.00E+01,1.01E+03,5.81E+02
Pomegranates,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Pop or Orn Corn,1.17E+02,4.64E+02,1.64E+02,3.63E+02,4.30E+01,0.00E+00,3.58E+02,5.31E+02
Potatoes,1.19E+06,1.15E+06,1.23E+06,1.23E+06,1.17E+06,1.11E+06,1.27E+06,1.18E+06
Prunes,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.60E+01,0.00E+00,0.00E+00,0.00E+00
Pumpkins,4.80E+01,5.70E+01,1.35E+02,4.26E+02,2.68E+02,2.52E+02,1.10E+02,1.76E+02
Radishes,9.21E+03,3.45E+03,3.84E+03,6.32E+03,3.51E+03,2.63E+03,3.30E+03,7.34E+03
Rape Seed,0.00E+00,5.28E+02,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
Rice,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Rye,2.48E+04,1.91E+04,1.14E+04,4.19E+04,4.66E+04,4.43E+04,2.30E+04,1.87E+04
Safflower,4.31E+04,6.39E+04,3.61E+04,4.37E+04,2.15E+04,1.83E+04,1.59E+04,4.02E+04
Shrubland,1.06E+08,1.06E+08,1.06E+08,1.01E+08,1.10E+08,9.74E+07,1.10E+08,1.00E+08
Shrubland,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Sod/Grass Seed,1.19E+04,1.22E+04,5.58E+03,7.57E+03,2.84E+03,9.90E+03,4.70E+03,8.19E+03
Sorghum,4.52E+03,9.73E+02,4.36E+03,9.21E+02,2.52E+03,2.20E+03,1.99E+03,1.33E+03
Soybeans,1.00E+00,3.00E+01,3.00E+01,7.00E+01,7.31E+02,1.59E+03,1.98E+02,0.00E+00
Speltz,5.20E+01,6.70E+01,3.80E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Spring Wheat,1.10E+06,1.38E+06,1.07E+06,1.16E+06,1.92E+06,1.81E+06,1.36E+06,1.45E+06
Squash,0.00E+00,1.78E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00
Strawberries,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Sugarbeets,6.50E+05,6.29E+05,6.57E+05,6.20E+05,6.90E+05,6.34E+05,6.95E+05,6.51E+05
Sugarcane,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Sunflower,5.87E+02,4.86E+03,1.30E+01,5.39E+03,5.00E+00,1.78E+02,1.00E+00,6.10E+01
Sweet Corn,1.62E+04,0.00E+00,3.04E+04,5.15E+04,3.62E+04,3.16E+04,3.54E+04,3.83E+04
Sweet Potatoes,6.00E+01,3.18E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Switchgrass,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Tobacco,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Tomatoes,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Triticale,7.63E+04,7.74E+04,1.05E+05,7.77E+04,4.61E+04,2.89E+04,3.09E+04,2.51E+04
Turnips,2.63E+03,3.09E+03,4.21E+03,3.31E+03,1.05E+03,1.64E+03,3.33E+03,3.93E+03
Vetch,0.00E+00,4.00E+00,0.00E+00,2.50E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Walnuts,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Water,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Watermelons,0.00E+00,0.00E+00,0.00E+00,3.40E+01,1.05E+02,0.00E+00,0.00E+00,1.70E+01
Wetlands,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.80E+01,0.00E+00,0.00E+00
Winter Wheat,1.58E+06,1.51E+06,1.50E+06,1.63E+06,1.67E+06,1.35E+06,1.52E+06,1.61E+06
Woody Wetlands,6.45E+05,6.71E+05,6.58E+05,5.94E+05,7.06E+05,5.53E+05,6.67E+05,7.28E+05
