,state_alpha,county_name,year,variable,category,value,unit_desc
69,ID,ADA,2007,AREA OPERATED, (70.0 TO 99.9 ACRES),3230,ACRES
70,ID,CANYON,2007,AREA OPERATED, (70.0 TO 99.9 ACRES),10482,ACRES
71,ID,JEROME,2007,AREA OPERATED, (70.0 TO 99.9 ACRES),2672,ACRES
72,ID,TWIN FALLS,2007,AREA OPERATED, (70.0 TO 99.9 ACRES),8214,ACRES
73,ID,ADA,2007,AREA OPERATED," (1,000 OR MORE ACRES)",32,OPERATIONS
74,ID,CANYON,2007,AREA OPERATED," (1,000 OR MORE ACRES)",52,OPERATIONS
75,ID,JEROME,2007,AREA OPERATED," (1,000 OR MORE ACRES)",45,OPERATIONS
76,ID,TWIN FALLS,2007,AREA OPERATED," (1,000 OR MORE ACRES)",68,OPERATIONS
77,ID,ADA,2007,AREA OPERATED," (1,000 TO 1,999 ACRES)",18,OPERATIONS
78,ID,CANYON,2007,AREA OPERATED," (1,000 TO 1,999 ACRES)",31,OPERATIONS
79,ID,JEROME,2007,AREA OPERATED," (1,000 TO 1,999 ACRES)",26,OPERATIONS
80,ID,TWIN FALLS,2007,AREA OPERATED," (1,000 TO 1,999 ACRES)",31,OPERATIONS
81,ID,ADA,2007,AREA OPERATED, (1.0 TO 9.9 ACRES),511,OPERATIONS
82,ID,CANYON,2007,AREA OPERATED, (1.0 TO 9.9 ACRES),834,OPERATIONS
83,ID,JEROME,2007,AREA OPERATED, (1.0 TO 9.9 ACRES),142,OPERATIONS
84,ID,TWIN FALLS,2007,AREA OPERATED, (1.0 TO 9.9 ACRES),305,OPERATIONS
85,ID,ADA,2007,AREA OPERATED, (10.0 TO 49.9 ACRES),573,OPERATIONS
86,ID,CANYON,2007,AREA OPERATED, (10.0 TO 49.9 ACRES),914,OPERATIONS
87,ID,JEROME,2007,AREA OPERATED, (10.0 TO 49.9 ACRES),166,OPERATIONS
88,ID,TWIN FALLS,2007,AREA OPERATED, (10.0 TO 49.9 ACRES),323,OPERATIONS
89,ID,ADA,2007,AREA OPERATED, (100 TO 139 ACRES),48,OPERATIONS
90,ID,CANYON,2007,AREA OPERATED, (100 TO 139 ACRES),75,OPERATIONS
91,ID,JEROME,2007,AREA OPERATED, (100 TO 139 ACRES),30,OPERATIONS
92,ID,TWIN FALLS,2007,AREA OPERATED, (100 TO 139 ACRES),76,OPERATIONS
93,ID,ADA,2007,AREA OPERATED, (140 TO 179 ACRES),19,OPERATIONS
94,ID,CANYON,2007,AREA OPERATED, (140 TO 179 ACRES),79,OPERATIONS
95,ID,JEROME,2007,AREA OPERATED, (140 TO 179 ACRES),29,OPERATIONS
96,ID,TWIN FALLS,2007,AREA OPERATED, (140 TO 179 ACRES),41,OPERATIONS
97,ID,ADA,2007,AREA OPERATED, (180 TO 219 ACRES),10,OPERATIONS
98,ID,CANYON,2007,AREA OPERATED, (180 TO 219 ACRES),37,OPERATIONS
99,ID,JEROME,2007,AREA OPERATED, (180 TO 219 ACRES),16,OPERATIONS
100,ID,TWIN FALLS,2007,AREA OPERATED, (180 TO 219 ACRES),44,OPERATIONS
101,ID,ADA,2007,AREA OPERATED, (180 TO 499 ACRES),40,OPERATIONS
102,ID,CANYON,2007,AREA OPERATED, (180 TO 499 ACRES),146,OPERATIONS
103,ID,JEROME,2007,AREA OPERATED, (180 TO 499 ACRES),95,OPERATIONS
104,ID,TWIN FALLS,2007,AREA OPERATED, (180 TO 499 ACRES),233,OPERATIONS
105,ID,ADA,2007,AREA OPERATED," (2,000 OR MORE ACRES)",14,OPERATIONS
106,ID,CANYON,2007,AREA OPERATED," (2,000 OR MORE ACRES)",21,OPERATIONS
107,ID,JEROME,2007,AREA OPERATED," (2,000 OR MORE ACRES)",19,OPERATIONS
108,ID,TWIN FALLS,2007,AREA OPERATED," (2,000 OR MORE ACRES)",37,OPERATIONS
109,ID,ADA,2007,AREA OPERATED, (220 TO 259 ACRES),8,OPERATIONS
110,ID,CANYON,2007,AREA OPERATED, (220 TO 259 ACRES),23,OPERATIONS
111,ID,JEROME,2007,AREA OPERATED, (220 TO 259 ACRES),20,OPERATIONS
112,ID,TWIN FALLS,2007,AREA OPERATED, (220 TO 259 ACRES),50,OPERATIONS
113,ID,ADA,2007,AREA OPERATED, (260 TO 499 ACRES),22,OPERATIONS
114,ID,CANYON,2007,AREA OPERATED, (260 TO 499 ACRES),86,OPERATIONS
115,ID,JEROME,2007,AREA OPERATED, (260 TO 499 ACRES),59,OPERATIONS
116,ID,TWIN FALLS,2007,AREA OPERATED, (260 TO 499 ACRES),139,OPERATIONS
117,ID,ADA,2007,AREA OPERATED, (50 TO 179 ACRES),154,OPERATIONS
118,ID,CANYON,2007,AREA OPERATED, (50 TO 179 ACRES),362,OPERATIONS
119,ID,JEROME,2007,AREA OPERATED, (50 TO 179 ACRES),110,OPERATIONS
120,ID,TWIN FALLS,2007,AREA OPERATED, (50 TO 179 ACRES),272,OPERATIONS
121,ID,ADA,2007,AREA OPERATED, (50.0 TO 69.9 ACRES),48,OPERATIONS
122,ID,CANYON,2007,AREA OPERATED, (50.0 TO 69.9 ACRES),78,OPERATIONS
123,ID,JEROME,2007,AREA OPERATED, (50.0 TO 69.9 ACRES),18,OPERATIONS
124,ID,TWIN FALLS,2007,AREA OPERATED, (50.0 TO 69.9 ACRES),53,OPERATIONS
125,ID,ADA,2007,AREA OPERATED, (500 TO 999 ACRES),13,OPERATIONS
126,ID,CANYON,2007,AREA OPERATED, (500 TO 999 ACRES),60,OPERATIONS
127,ID,JEROME,2007,AREA OPERATED, (500 TO 999 ACRES),46,OPERATIONS
128,ID,TWIN FALLS,2007,AREA OPERATED, (500 TO 999 ACRES),95,OPERATIONS
129,ID,ADA,2007,AREA OPERATED, (70.0 TO 99.9 ACRES),39,OPERATIONS
130,ID,CANYON,2007,AREA OPERATED, (70.0 TO 99.9 ACRES),130,OPERATIONS
131,ID,JEROME,2007,AREA OPERATED, (70.0 TO 99.9 ACRES),33,OPERATIONS
132,ID,TWIN FALLS,2007,AREA OPERATED, (70.0 TO 99.9 ACRES),102,OPERATIONS
